N,step,algorithm,status,time_sec,max_ram_kb,output
87500,algorithm,upgmc,OK,169,114962900,experiments_salmonella_algorithms/tree_upgmc_87500.nwk
87500,algorithm,wpgma,OK,165,89606312,experiments_salmonella_algorithms/tree_wpgma_87500.nwk
87500,algorithm,wpgmc,OK,172,120941972,experiments_salmonella_algorithms/tree_wpgmc_87500.nwk
100000,distance,,OK,24130,52583120,experiments_salmonella_algorithms/dist_100000.txt
100000,algorithm,sl,FAIL,682,363688416,experiments_salmonella_algorithms/tree_sl_100000.nwk
100000,algorithm,cl,FAIL,668,363780008,experiments_salmonella_algorithms/tree_cl_100000.nwk
100000,algorithm,upgma,FAIL,669,364003044,experiments_salmonella_algorithms/tree_upgma_100000.nwk
100000,algorithm,upgmc,FAIL,658,364039960,experiments_salmonella_algorithms/tree_upgmc_100000.nwk
100000,algorithm,wpgma,FAIL,662,363821304,experiments_salmonella_algorithms/tree_wpgma_100000.nwk
100000,algorithm,wpgmc,FAIL,680,364024644,experiments_salmonella_algorithms/tree_wpgmc_100000.nwk
150000,distance,,OK,56811,54906884,experiments_salmonella_algorithms/dist_150000.txt
150000,algorithm,sl,FAIL,965,364046596,experiments_salmonella_algorithms/tree_sl_150000.nwk
150000,algorithm,cl,FAIL,931,364025536,experiments_salmonella_algorithms/tree_cl_150000.nwk
150000,algorithm,upgma,FAIL,909,363985148,experiments_salmonella_algorithms/tree_upgma_150000.nwk
150000,algorithm,upgmc,FAIL,904,363993916,experiments_salmonella_algorithms/tree_upgmc_150000.nwk
150000,algorithm,wpgma,FAIL,898,364000388,experiments_salmonella_algorithms/tree_wpgma_150000.nwk
150000,algorithm,wpgmc,FAIL,913,364022464,experiments_salmonella_algorithms/tree_wpgmc_150000.nwk
200000,distance,,OK,96717,56693716,experiments_salmonella_algorithms/dist_200000.txt
200000,algorithm,sl,FAIL,1201,363867364,experiments_salmonella_algorithms/tree_sl_200000.nwk
200000,algorithm,cl,FAIL,1207,363895488,experiments_salmonella_algorithms/tree_cl_200000.nwk
200000,algorithm,upgma,FAIL,1228,363917080,experiments_salmonella_algorithms/tree_upgma_200000.nwk
200000,algorithm,upgmc,FAIL,1172,363889780,experiments_salmonella_algorithms/tree_upgmc_200000.nwk
200000,algorithm,wpgma,FAIL,1218,363891320,experiments_salmonella_algorithms/tree_wpgma_200000.nwk
200000,algorithm,wpgmc,FAIL,1202,363900296,experiments_salmonella_algorithms/tree_wpgmc_200000.nwk
